Filename,RecordTime,Licence
20190912_123400_Num_1,12:34:06,0
20190912_123400_Num_2,12:35:09,0
20190912_123400_Num_3,12:35:47,0
20190912_123400_Num_4,12:36:02,0
20190912_123400_Num_5,12:36:12,0
20190912_123400_Num_6,12:36:36,0
20190912_123400_Num_7,12:37:39,0
20190912_123400_Num_8,12:38:55,1
